报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
投资收益,2940.53,11894.7,21535.77,22267.5,3305.91,5657.54,5819.58,5665.13,-7580.58,-7430.12,-6699.81,-6402.91,15.52,-38.5,-108.53,-127.89,-69.3,-65.46,114.3,-148.55,34.71,173.15,166.85,413.66,216.27,308.7,381.06,453.95,140.93,666.43,676.11,822.38,133.46,347.19,689.61,677.64,257.15,168.42,172.56,134.06,330.01,508.44,428699.95,429709.93,6.87,85.43,-208.8,-4244.59,-146.82
其中:对联营企业和合营企业的投资收益,-33.76,-130.3,-256.21,-381.47,-94.7,-188.68,-301.72,-165.91,-162.83,-107.23,-194.32,-361.16,-77.87,-200.79,-288.17,-246.87,-71.26,-147.27,-264.54,-271.74,-21.78,14.19,115.97,243.22,96.34,170.89,207.05,280.37,140.93,295.68,305.37,478.17,133.46,304.39,641.81,613.66,209.92,104.67,1.22,-37.38,-78.62,58.5,311.14,148.83,-18.82,123.82,-146.33,-618.66,-403.25
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,15405.43,27613.66,53492.05,61375.58,7087.93,9256.47,9228.86,9960.36,14131.36,30094.81,42744.79,58327.77,14920.71,28934.17,40476.85,51641.49,14427.5,26124.43,34270.28,42974.48,13860.57,28206.82,42172.49,51875.28,16522.17,30852.32,44842.06,59055.69,15352.24,34486.98,48056.26,58450.85,18762.6,37736.95,55452.79,69279.91,24399.56,46319.94,69037.86,87648.03,31815.56,60319.91,515959.12,565780.81,38297.8,75087.87,106373.59,127449.55,46213.69
加:营业外收入,54.89,420.02,620.59,799.17,212.08,268.09,558.5,1109.36,75.75,268.45,394.83,995.58,345.98,1054.76,1174.51,2116.73,1169.02,2225.1,2750.4,3618.23,261.29,1256.01,1594.54,4426.79,729.1,1503.88,3063.11,4310.84,2030.33,2340.6,6140.28,7011.34,6419.19,7835.52,10750.33,13068.69,5071.64,6009.34,9990.5,13602.92,4365.2,7287.76,36153.23,9191.26,5850.1,7638.89,18014.18,17689.85,5887.28
减：营业外支出,18.66,76.34,199.7,176.87,21.56,282.2,355.29,504.32,10.72,121.09,257.98,381.54,73.21,148.56,236.74,391.49,6.75,25.41,211.99,277.58,12.05,22.44,191.3,270.79,13.4,146.24,174.16,472.49,7.38,105.85,133.0,259.69,505.31,615.56,677.6,1556.47,40.85,287.11,318.22,744.83,371.88,1143.64,1975.68,2479.79,175.71,946.11,1014.74,3471.97,128.43
其中：非流动资产处置损失,4.8,19.09,71.39,72.65,3.26,49.38,56.66,189.76,1.01,79.13,148.45,130.18,38.45,49.87,54.83,83.48,0.16,6.0,16.2,16.13,11.27,20.0,171.24,108.17,5.38,0.46,37.85,17.97,2.2,84.01,84.1,135.43,505.04,488.98,504.75,600.91,14.25,21.74,33.18,159.26,33.16,767.06,602.78,151.88,21.77,0.0,0.0,0.0,0.0
四、利润总额,15441.66,27957.34,53912.94,61997.88,7278.45,9242.36,9432.07,10565.41,14196.39,30242.16,42881.64,58941.81,15193.48,29840.38,41414.62,53366.73,15589.76,28324.12,36808.69,46315.12,14109.81,29440.39,43575.73,56031.27,17237.86,32209.96,47731.02,62894.05,17375.19,36721.72,54063.55,65202.5,24676.49,44956.91,65525.52,80792.13,29430.35,52042.18,78710.14,100506.12,35808.89,66464.02,550136.67,572492.28,43972.19,81780.64,123373.04,141667.44,51972.53
减：所得税费用,2180.56,4084.34,7849.79,9659.79,1694.33,2241.27,2691.93,3274.68,1852.04,3895.87,5480.18,7562.38,1793.5,4060.36,6080.67,8117.73,2294.93,4700.09,6674.44,7535.28,1915.63,4767.2,7071.66,8508.96,2358.37,5242.4,7865.5,10495.39,2475.52,5608.01,8904.96,9840.29,4372.29,7706.61,11360.71,14835.79,4634.11,9295.5,13422.82,17514.57,5920.99,11424.85,119541.24,123722.04,7292.4,14210.09,20528.12,23495.96,7901.39
五、净利润,13261.09,23873.0,46063.15,52338.09,5584.12,7001.09,6740.14,7290.73,12344.34,26346.29,37401.46,51379.42,13399.98,25780.02,35333.95,45249.0,13294.83,23624.03,30134.25,38779.84,12194.18,24673.19,36504.07,47522.31,14879.49,26967.56,39865.52,52398.65,14899.67,31113.71,45158.59,55362.22,20304.2,37250.31,54164.81,65956.34,24796.24,42746.67,65287.32,82991.55,29887.9,55039.17,430595.42,448770.24,36679.79,67570.55,102844.92,118171.47,44071.14
归属于母公司所有者的净利润,13016.6,23237.58,44998.48,50845.11,5159.81,6109.57,5348.42,5207.32,11672.0,24785.49,34964.23,48157.82,12662.44,24148.02,32874.29,41818.08,12581.54,22086.17,28085.35,35936.99,11729.12,22870.5,34363.09,44167.15,14673.94,25931.04,37873.5,48750.24,14335.08,29093.41,42330.92,51597.84,18265.04,34084.34,49545.2,62264.1,23011.19,40906.18,61477.4,78435.36,27501.11,50400.25,424624.19,442868.46,34736.39,63335.43,94010.47,108217.49,39277.49
少数股东损益,244.49,635.42,1064.67,1492.99,424.31,891.52,1391.72,2083.42,672.34,1560.8,2437.23,3221.6,737.53,1631.99,2459.66,3430.92,713.29,1537.86,2048.9,2842.85,465.06,1802.69,2140.99,3355.16,205.55,1036.52,1992.02,3648.42,564.59,2020.3,2827.67,3764.37,2039.16,3165.97,4619.6,3692.23,1785.05,1840.49,3809.92,4556.19,2386.79,4638.92,5971.23,5901.78,1943.4,4235.12,8834.45,9953.98,4793.65
基本每股收益(元/股),0.43,0.76,1.47,1.66,0.17,0.2,0.17,0.17,0.39,0.83,1.16,1.61,0.43,0.82,1.11,1.41,0.43,0.75,0.95,1.22,0.4,0.77,1.16,1.49,0.5,0.88,1.28,1.65,0.48,0.98,1.43,1.74,0.62,1.14,1.27,1.62,0.6,1.04,1.57,1.98,0.66,1.19,7.76,8.09,0.63,0.88,1.31,1.51,0.55
稀释每股收益(元/股),0.43,0.76,1.47,1.66,0.17,0.2,0.17,0.17,0.39,0.83,1.16,1.61,0.43,0.82,1.11,1.41,0.43,0.75,0.95,1.22,0.4,0.77,1.16,1.49,0.5,0.88,1.28,1.65,0.48,0.98,1.43,1.74,0.62,1.14,1.27,1.6,0.59,1.04,1.57,1.97,0.65,1.19,7.72,8.06,0.63,0.88,1.31,1.51,0.55
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.58,383.2,501.27,-82.62,-350.18,-418.91,-563.11,-262.19,-261.83,-909.61,-492.73,-125.52,76.45,-75.87,10.19,5.1,-205.01,-181.28,-276.54,35.29,-301.09,-2062.89,-3128.18,2439.68,142.93,-444.08,3492.77,-496.66,185.52,375.73,1347.04,-18.09,-1898.48,-3652.3,-4543.0,-4100.61,166.97,3909.26,2603.54,-1711.0
八、综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26777.87,37784.66,51880.69,13317.36,25429.84,34915.04,44685.89,13032.64,23362.2,29224.64,38287.11,12068.66,24749.64,36428.2,47532.5,14884.59,26762.55,39684.24,52122.12,14934.96,30812.62,43095.7,52234.04,22743.88,37393.24,53720.73,69449.11,24299.57,42932.2,65663.05,84338.6,29869.8,53140.69,426943.12,444227.24,32579.18,67737.53,106754.18,120775.01,42360.14
归属于母公司所有者的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25217.07,35347.43,48659.09,12579.82,23797.85,32455.38,41254.97,12319.35,21824.34,27175.74,35444.26,11603.6,22946.95,34287.22,44177.49,14678.95,25726.54,37695.75,48475.39,14367.22,28790.1,41149.33,49897.98,19537.39,34214.81,49476.74,64321.46,22669.49,41088.73,61847.55,79770.96,27481.81,48507.29,420990.77,438353.54,30635.78,63497.39,97900.68,110590.9,37570.92
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.8,2437.23,3221.6,737.53,1631.99,2459.66,3430.92,713.29,1537.86,2048.9,2842.85,465.06,1802.69,2140.99,3355.02,205.64,1036.01,1988.49,3646.73,567.74,2022.52,1946.38,2336.06,3206.49,3178.43,4243.99,5127.65,1630.08,1843.47,3815.5,4567.64,2387.99,4633.4,5952.36,5873.7,1943.4,4240.14,8853.5,10184.11,4789.21
