科目,2010年度,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
收到再保业务现金净额,,,,,,,,,,,
吸收投资收到的现金,,"2,000,000.00","61,000,000.00","71,754,000.00","5,878,571.85","2,291,083,942.08","2,298,433,942.08","2,379,222,633.12","26,000,000.00","58,096,000.00","38,118,000.00"
保户储金及投资款净增加额,,,,,,,,,,,
发行债券收到的现金,,"3,400,000,000.00","4,700,000,000.00","2,300,000,000.00","800,000,000.00","795,456,000.00","1,800,000,000.00","4,600,000,000.00",,,"617,900,000.00"
收到其他与经营活动有关的现金,"1,848,109,254.76","151,023,799.82","3,424,424,817.74","3,721,682,007.84","1,203,964,446.51","1,904,763,237.79","3,169,377,918.15","-3,380,407,807.37","600,066,029.09","836,231,118.20","-1,159,533,742.42"
取得借款收到的现金,,"108,644,617.81","17,769,264.09",,,,,,,,"20,000,000.00"
经营活动现金流入小计,"4,524,054,614.79","179,847,391.20","6,815,943,689.44","7,501,083,221.09","-229,515,008.22","-680,224,860.67","5,518,135,830.41","-2,255,316,284.99","2,753,241,271.41","3,385,647,363.87","3,148,942,056.50"
收到其他与筹资活动有关的现金,,,,"1,154,530,000.00",,,,"505,500,000.00",,,
客户贷款及垫款净增加额,,,,,,,,,,,
筹资活动现金流入小计,,"3,510,644,617.81","4,778,769,264.09","3,526,284,000.00","805,878,571.85","3,086,539,942.08","4,098,433,942.08","7,484,722,633.12","26,000,000.00","58,096,000.00","676,018,000.00"
存放中央银行和同业款项净增加额,,,,,,,,,,,
偿还债务支付的现金,,"1,900,000,000.00","3,676,435,831.31","2,100,000,000.00","116,470.96",,,"800,000,000.00",,"800,000,000.00","1,400,000,000.00"
支付的手续费及佣金的现金,"106,702,812.33","194,972,864.60","323,686,247.39","951,520,152.70","137,411,668.59","262,953,637.35","365,216,021.39","458,624,528.15","112,852,099.05","212,153,871.35","509,965,342.01"
分配股利、利润或偿付利息支付的现金,"70,100,000.00","61,430,742.17","142,497,850.04","254,326,368.80","58,200,161.76","160,808,531.65","207,372,034.86","439,402,190.07","84,396,566.03","219,222,603.77","331,142,246.44"
购买商品、提供劳务支付的现金,,,,,,,,,,,
支付其他与筹资活动有关的现金,,"1,380,000.00","620,000.00","420,000.00","530,910,000.00","1,233,592,315.46","1,233,286,400.00","1,244,233,528.29","4,813,104.00","4,195,956.90","179,836.44"
支付原保险合同赔付款项的现金,,,,,,,,,,,
筹资活动现金流出小计,"70,100,000.00","1,962,810,742.17","3,819,553,681.35","2,354,746,368.80","589,226,632.72","1,394,400,847.11","1,440,658,434.86","2,483,635,718.36","89,209,670.03","1,023,418,560.67","1,731,322,082.88"
支付保单红利的现金,,,,,,,,,,,
筹资活动产生的现金流量净额,"-70,100,000.00","1,547,833,875.64","959,215,582.74","1,171,537,631.20","216,651,939.13","1,692,139,094.97","2,657,775,507.22","5,001,086,914.76","-63,209,670.03","-965,322,560.67","-1,055,304,082.88"
支付给职工以及为职工支付的现金,"345,723,680.83","464,788,583.33","453,245,585.80","748,408,781.84","151,684,004.99","603,988,238.90","774,895,413.44","905,024,387.45","175,941,467.77","563,334,246.43","748,381,120.87"
四、汇率变动对现金的影响,"-556,571.51","-636,715.75","58,820.27","1,192,839.91",-848.29,"428,958.84","430,185.07","1,426,044.18",-968.88,"-743,402.26","-746,991.27"
支付的各项税费,"131,179,715.93","95,583,509.66","122,444,561.14","576,450,788.76","82,248,981.51","225,444,955.65","312,056,445.71","398,329,995.20","53,665,698.64","148,584,716.03","191,721,508.41"
四(2)、其他原因对现金的影响,,,,,,,,,,,
支付其他与经营活动有关的现金,"243,464,222.83","1,376,640,323.26","3,440,652,823.95","1,291,056,194.60","511,917,177.80","836,695,175.40","1,921,826,741.84","597,788,345.92","2,401,455,793.63","554,670,979.82","1,682,392,409.72"
五、现金及现金等价物净增加额,"2,428,039,259.76","-519,576,667.43","3,244,381,194.51","5,034,717,674.17","-904,600,470.44","-1,056,539,512.94","-1,359,089,196.81","-2,491,008,476.27","-245,543,379.45","662,923,928.88","-1,419,467,658.58"
经营活动现金流出小计,"1,966,849,608.45","2,131,985,280.85","4,340,029,218.28","3,567,435,917.90","883,261,832.89","1,929,082,007.30","9,326,263,778.75","4,602,596,914.04","2,743,915,059.09","1,478,743,813.63","3,132,460,381.01"
期初现金及现金等价物余额,"3,701,247,780.21","3,497,239,311.04","2,977,662,643.61","6,222,043,838.12","11,256,761,512.29","11,256,761,512.29","11,256,761,512.29","11,256,761,512.29","8,765,753,036.02","8,765,753,036.02","8,765,753,036.02"
经营活动产生的现金流量净额,"2,557,205,006.34","-1,952,137,889.65","2,475,914,471.16","3,933,647,303.19","-1,112,776,841.11","-2,609,306,867.97","-3,808,127,948.34","-6,857,913,199.03","9,326,212.32","1,906,903,550.24","16,481,675.49"
期末现金及现金等价物余额,"6,129,287,039.97","2,977,662,643.61","6,222,043,838.12","11,256,761,512.29","10,352,161,041.85","10,200,221,999.35","9,897,672,315.48","8,765,753,036.02","8,520,209,656.57","9,428,676,964.90","7,346,285,377.44"
二、投资活动产生的现金流量,,,,,,,,,,,
,,,,,,,,,,,
