科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
偿还债务支付的现金,"178,641,050.00","111,907,800.00","128,457,363.42","50,559,496.29","140,559,496.29","140,559,496.29","195,559,496.29",,"20,749,400.00","79,545,400.00"
经营活动产生的现金流量净额,"64,752,393.01","41,830,879.86","58,122,830.45","5,179,333.66","41,512,518.51","9,729,581.19","72,742,004.88","-39,873,321.57","37,169,965.85","26,714,459.00"
分配股利、利润或偿还利息支付的现金,"2,982,187.59","1,990,511.38","61,389,410.23","1,424,405.18","1,886,875.99","2,199,834.35","2,457,813.53",,"56,290,091.13","60,534,460.26"
收回投资收到的现金,,,,,,,,"50,000,000.00","100,000,000.00","100,000,000.00"
支付其他与筹资活动有关的现金,,,,,,,,,,
取得投资收益收到的现金,"3,059,788.08","3,677,529.69",,,,,"10,769,210.81","2,126,031.13","4,073,552.56","4,073,552.56"
筹资活动现金流出小计,"181,623,237.59","113,898,311.38","189,846,773.65","51,983,901.47","142,446,372.28","142,759,330.64","198,017,309.82",,"77,039,491.13","140,079,860.26"
处置固定资产、无形资产和其他长期资产收回的现金净额,"99,043.00","5,884.61","32,849.52","51,001.10","36,078.81","68,961.57","90,268.04",,854.70,854.70
筹资活动产生的现金流量净额,"-55,502,137.59","6,957,950.03","6,484,878.49","-11,844,109.18","171,020,724.22","190,715,074.95","155,457,095.77","41,278,800.00","14,239,308.87","-48,801,060.26"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,"-4,356,455.09","592,379.07","1,386,421.51","-4,407,479.45","-4,552,482.03","-4,214,660.52","-2,661,304.73","-519,431.12","-1,927,610.36","-5,458,520.26"
收到其他与投资活动有关的现金,,,,,,,"2,766,000.00",,"281,600.00","281,600.00"
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"3,158,831.08","3,683,414.30","32,849.52","51,001.10","36,078.81","68,961.57","13,625,478.85","52,126,031.13","104,356,007.26","104,356,007.26"
五、现金及现金等价物净增加额,"-11,429,926.29","-2,519,322.05","24,296,434.39","-18,713,148.31","61,854,568.31","36,319,614.19","68,157,847.95","47,941,872.74","11,569,561.53","-70,478,182.79"
购建固定资产、无形资产和其他长期资产支付的现金,"19,482,557.70","55,583,945.31","41,730,545.58","7,691,894.44","46,162,271.20","59,979,343.00","71,005,426.82","5,070,205.70","132,268,110.09","137,289,068.53"
期初现金及现金等价物余额,"60,632,927.69","49,203,001.40","46,683,679.35","70,980,113.74","70,980,113.74","70,980,113.74","70,980,113.74","139,137,961.69","139,137,961.69","139,137,961.69"
投资支付的现金,,,,,"100,000,000.00","100,000,000.00","100,000,000.00",,,
期末现金及现金等价物余额,"49,203,001.40","46,683,679.35","70,980,113.74","52,266,965.43","132,834,682.05","107,299,727.93","139,137,961.69","187,079,834.43","150,707,523.22","68,659,778.90"
