科目,2012年度,2013年度,2014年度,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"14,185,251.81","20,631,299.37","25,103,171.74","19,605,134.11","26,347,338.85","8,593,478.80","16,369,999.20","21,935,302.42","38,028,623.24","15,174,909.21","21,581,705.51","34,557,433.74","62,805,889.20","18,689,084.34","36,552,993.23"
取得借款收到的现金,"29,350,000.00","98,412,000.00","137,860,000.00","123,150,000.00","171,650,000.00","17,000,000.00","17,000,000.00","47,000,000.00","82,000,000.00","120,000,000.00","180,000,000.00","234,900,000.00","413,600,000.00","200,000,000.00","485,554,466.70"
支付的各项税费,"13,544,468.72","17,555,750.75","13,284,181.75","14,415,927.63","17,354,492.98","6,656,347.98","10,750,390.24","15,473,867.22","22,414,389.54","9,392,494.54","19,895,579.51","25,214,665.99","39,107,852.03","18,554,300.64","30,296,489.26"
收到其他与筹资活动有关的现金,,,,,,"13,728,700.00",,,,,,,"11,641,466.67",,
支付其他与经营活动有关的现金,"18,193,873.18","25,425,875.34","26,794,185.13","20,303,376.11","25,064,064.18","15,786,547.33","17,841,961.56","20,451,732.38","44,600,002.28","13,484,574.72","49,716,152.89","56,077,393.22","82,147,737.14","16,159,474.99","44,536,280.12"
筹资活动现金流入小计,"66,884,500.00","98,412,000.00","137,860,000.00","123,150,000.00","171,650,000.00","257,800,000.00","257,800,000.00","287,800,000.00","322,800,000.00","120,000,000.00","181,470,000.00","236,370,000.00","426,711,466.67","200,000,000.00","1,366,512,448.80"
经营活动现金流出小计,"113,326,768.65","145,527,888.27","143,240,694.93","101,883,545.55","145,572,248.42","72,938,483.54","96,858,510.63","168,950,815.88","250,466,495.65","101,377,845.38","189,818,336.80","242,279,800.50","370,857,586.49","111,369,439.27","315,209,859.61"
偿还债务支付的现金,"21,592,500.00","58,857,500.00","92,412,000.00","87,010,000.00","135,510,000.00","11,500,000.00","120,000,000.00","120,000,000.00","140,000,000.00","17,000,000.00","47,000,000.00","47,200,000.00","82,300,000.00","161,800,000.00","254,300,000.00"
经营活动产生的现金流量净额,"-48,360,232.18","-27,396,328.17","-41,302,111.04","-27,680,982.45","-16,541,941.23","-10,081,969.07","-45,287,254.73","-83,801,426.43","-116,588,968.95","-38,999,578.58","-112,496,875.43","-135,839,070.49","-236,301,118.51","-33,709,114.86","-124,496,770.07"
分配股利、利润或偿还利息支付的现金,"836,631.08","2,239,244.63","5,972,244.95","5,597,221.39","7,570,472.23","2,023,353.05","15,354,598.87","15,873,080.38","16,968,866.19","1,161,627.65","3,254,720.33","33,849,169.79","41,232,976.96","6,061,493.96","14,833,462.50"
收回投资收到的现金,"11,296.51",,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"2,743,000.00",,,,,"135,000.00","13,728,700.00","13,728,700.00","13,728,700.00",,,,"10,584,905.66",,"17,481,718.59"
取得投资收益收到的现金,,,,,,,,,,,,,,,
筹资活动现金流出小计,"25,172,131.08","61,096,744.63","98,384,244.95","92,607,221.39","143,080,472.23","13,658,353.05","149,083,298.87","149,601,780.38","170,697,566.19","18,161,627.65","50,254,720.33","81,049,169.79","134,117,882.62","167,861,493.96","286,615,181.09"
处置固定资产、无形资产和其他长期资产收回的现金净额,"57,359.71",,,,,,,"8,547.01","15,177.01",,,,"1,000.00",,
筹资活动产生的现金流量净额,"41,712,368.92","37,315,255.37","39,475,755.05","30,542,778.61","28,569,527.77","244,141,646.95","108,716,701.13","138,198,219.62","152,102,433.81","101,838,372.35","131,215,279.67","155,320,830.21","292,593,584.05","32,138,506.04","1,079,897,267.71"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"3,900,000.00",,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,"3,968,656.22",,,,,,,"8,547.01","15,177.01",,,,"1,000.00",,
五、现金及现金等价物净增加额,"-12,609,803.15","2,497,460.23","-3,479,754.63","1,434,034.42","9,084,295.33","232,878,938.55","59,767,589.38","47,271,154.81","23,111,199.94","61,436,301.52","4,787,214.82","3,116,230.03","26,132,739.72","-2,373,208.93","698,611,767.83"
购建固定资产、无形资产和其他长期资产支付的现金,"9,930,596.11","7,421,466.97","1,653,398.64","1,427,761.74","2,943,291.21","1,180,739.33","3,661,857.02","7,134,185.39","12,417,441.93","1,402,492.25","13,931,189.42","16,365,529.69","30,160,725.82","802,600.11","7,172,479.81"
期初现金及现金等价物余额,"26,578,686.86","13,968,883.71","16,466,343.94","12,986,589.31","12,986,589.31","22,070,884.64","22,070,884.64","22,070,884.64","22,070,884.64","45,182,084.58","45,182,084.58","45,182,084.58","45,182,084.58","71,314,824.30","73,336,576.75"
投资支付的现金,,,,,,,,,,,,,,,"249,616,250.00"
期末现金及现金等价物余额,"13,968,883.71","16,466,343.94","12,986,589.31","14,420,623.73","22,070,884.64","254,949,823.19","81,838,474.02","69,342,039.45","45,182,084.58","106,618,386.10","49,969,299.40","48,298,314.61","71,314,824.30","68,941,615.37","771,948,344.58"
