科目,2011年度,2012年度,2013年度,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
经营活动产生的现金流量净额,"24,418,624.01","30,873,717.42","43,619,217.12","-11,223,490.25","-40,337,391.05","-247,520,049.22","-177,551,999.33","-142,315,352.55","-102,637,497.76","-115,197,381.47","-133,069,367.66","-224,282,401.55","-30,178,796.67","-128,688,856.95","-220,285,682.92","-425,340,939.72","-355,505,541.58"
分配股利、利润或偿还利息支付的现金,"3,478,354.59","8,919,975.90","10,198,463.07","5,967,441.67","13,785,416.69","3,681,361.14","7,369,530.60","24,476,850.62","24,476,850.62","1,530,219.56","14,839,332.34","17,964,402.82","21,812,491.54",,"18,881,318.91","26,222,376.65","34,142,071.81"
收回投资收到的现金,,,,,,,,,,,,,"750,000.00",,,,
支付其他与筹资活动有关的现金,,"15,000,253.52",261.04,"15,000,000.00","25,300,000.00","259,607,400.00","9,607,400.00","9,607,400.00","9,607,400.00",,"1,800,000.00","1,800,000.00","857,000.00","3,239,308.37",,"10,700,000.00","10,700,000.00"
取得投资收益收到的现金,,,,,,,,,,,,,,"412,191.78","1,674,806.07","1,674,806.07","2,710,422.51"
筹资活动现金流出小计,"25,478,354.59","119,795,229.42","150,198,724.11","95,967,441.67","267,085,416.69","263,288,761.14","26,976,930.60","204,084,250.62","254,084,250.62","1,530,219.56","16,639,332.34","59,764,402.82","175,669,491.54","180,239,308.37","276,731,318.91","409,972,376.65","449,092,071.81"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,,,,,,,,,500.00
筹资活动产生的现金流量净额,"64,921,645.41","-9,794,975.90","37,851,790.45","-10,967,441.67","22,914,583.31","203,711,238.86","389,323,069.40","232,215,749.38","275,215,749.38","58,469,780.44","63,360,667.66","172,296,787.31","536,830,462.62","-20,239,308.37","84,268,681.09","148,650,792.82","189,192,287.21"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,"-4,440,802.21","-1,119,099.01","-1,295,233.52","-7,082,297.32","-9,272,279.54"
收到其他与投资活动有关的现金,,,,,,,,,,"251,506.85","81,356,164.39","111,603,193.86","220,000,000.00","50,000,000.00","130,000,000.00","130,000,000.00","210,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,,,,,,,"251,506.85","81,356,164.39","111,603,193.86","220,750,000.00","50,412,191.78","131,674,806.07","131,674,806.07","212,710,922.51"
五、现金及现金等价物净增加额,"82,429,620.92","12,420,204.04","78,708,712.05","-24,206,539.05","-20,736,779.02","-43,950,466.38","210,169,948.70","71,902,646.81","60,911,460.28","-58,974,051.18","-74,924,698.61","-77,785,393.38","451,186,320.61","-179,341,698.55","-175,720,090.30","-362,371,277.61","-256,550,992.08"
购建固定资产、无形资产和其他长期资产支付的现金,"6,910,648.50","8,658,537.48","2,762,295.52","815,607.13","2,113,971.28","141,656.02","1,601,121.37","17,247,750.02","30,916,791.34","2,497,957.00","3,572,163.00","3,594,973.00","7,966,543.13","1,876,626.00","4,338,665.56","6,830,144.00","9,242,885.22"
期初现金及现金等价物余额,"105,691,620.56","188,121,241.48","200,541,445.52","279,250,157.57","279,250,157.57","197,513,378.55","258,513,378.55","258,513,378.55","258,513,378.55","319,424,838.83","319,424,838.83","319,424,838.83","319,424,838.83","874,421,159.44","770,611,159.44","770,611,159.44","770,611,159.44"
投资支付的现金,,,,"1,200,000.00","1,200,000.00",,,"750,000.00","750,000.00",,"3,000,000.00","23,808,000.00","23,808,000.00","47,830,000.00","89,742,500.00","127,442,000.00","130,442,000.00"
期末现金及现金等价物余额,"188,121,241.48","200,541,445.52","279,250,157.57","255,043,618.52","258,513,378.55","153,562,912.17","468,683,327.25","330,416,025.36","319,424,838.83","260,450,787.65","244,500,140.22","241,639,445.45","770,611,159.44","695,079,460.89","594,891,069.14","408,239,881.83","514,060,167.36"
